Regions code,Regions label,Migration Region (inflow) (6 categories) code,Migration Region (inflow) (6 categories) label,Ethnic group (6 categories) code,Ethnic group (6 categories) label,National Statistics Socio-economic Classification (NS-SeC) (10 categories) code,National Statistics Socio-economic Classification (NS-SeC) (10 categories) label,Count
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,0
E12000001,North East,-8,Does not apply,4,White,-8,Does not apply,0
E12000001,North East,-8,Does not apply,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,4,White,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,4,White,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,4,White,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,4,White,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,4,White,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,4,White,9,L15: Full-time students,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,-8,Does not apply,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,5,Other ethnic group,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,5,Other ethnic group,9,L15: Full-time students,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,-8,Does not apply,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,1,Lived at the same address one year ago,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,19514
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",6727
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7991
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,4411
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,8539
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,2943
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,5114
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,4622
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,10068
E12000001,North East,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,8992
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,5854
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1274
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1867
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,966
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,815
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,422
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,1771
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,1693
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,1916
E12000001,North East,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,2724
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,-8,Does not apply,12156
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1690
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2444
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,1437
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,1017
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,571
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,1439
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,1459
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,1696
E12000001,North East,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,2524
E12000001,North East,1,Lived at the same address one year ago,4,White,-8,Does not apply,358668
E12000001,North East,1,Lived at the same address one year ago,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",177286
E12000001,North East,1,Lived at the same address one year ago,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",344205
E12000001,North East,1,Lived at the same address one year ago,4,White,3,L7: Intermediate occupations,227952
E12000001,North East,1,Lived at the same address one year ago,4,White,4,L8 and L9: Small employers and own account workers,145051
E12000001,North East,1,Lived at the same address one year ago,4,White,5,L10 and L11: Lower supervisory and technical occupations,121946
E12000001,North East,1,Lived at the same address one year ago,4,White,6,L12: Semi-routine occupations,256516
E12000001,North East,1,Lived at the same address one year ago,4,White,7,L13: Routine occupations,270983
E12000001,North East,1,Lived at the same address one year ago,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,212810
E12000001,North East,1,Lived at the same address one year ago,4,White,9,L15: Full-time students,94037
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,-8,Does not apply,5791
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1408
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1473
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,3,L7: Intermediate occupations,711
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,1728
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,695
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,6,L12: Semi-routine occupations,952
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,7,L13: Routine occupations,1491
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,4272
E12000001,North East,1,Lived at the same address one year ago,5,Other ethnic group,9,L15: Full-time students,2342
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,-8,Does not apply,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,1495
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",854
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",926
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,381
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,498
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,204
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,407
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,376
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,788
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,3853
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,778
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",237
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",200
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,142
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,123
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,49
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,226
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,270
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,300
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,893
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,-8,Does not apply,1177
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",251
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",345
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,199
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,108
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,83
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,182
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,199
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,226
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,9,L15: Full-time students,1170
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,-8,Does not apply,31652
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",14366
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",26750
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,3,L7: Intermediate occupations,17072
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,4,L8 and L9: Small employers and own account workers,9225
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,5,L10 and L11: Lower supervisory and technical occupations,8183
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,6,L12: Semi-routine occupations,18365
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,7,L13: Routine occupations,17494
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,13595
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,9,L15: Full-time students,29008
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,-8,Does not apply,673
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",197
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",191
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,3,L7: Intermediate occupations,89
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,4,L8 and L9: Small employers and own account workers,151
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,82
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,6,L12: Semi-routine occupations,119
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,7,L13: Routine occupations,182
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,492
E12000001,North East,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,9,L15: Full-time students,676
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,-8,Does not apply,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,352
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",433
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",318
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,113
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,99
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,49
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,137
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,87
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,214
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,1138
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,220
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",161
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",159
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,59
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,36
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,20
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,66
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,69
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,124
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,374
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,-8,Does not apply,207
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",103
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",132
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,45
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,34
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,20
E12000001,North East,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,48
